,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,True_Diesel,True_Petrol,True_Individual,True_Manual,True_1,True_3
0,4,2014,3.35,5.59,27000,0,1,0,1,0,0
1,6,2013,4.75,9.54,43000,1,0,0,1,0,0
2,9,2017,7.25,9.85,6900,0,1,0,1,0,0
3,4,2011,2.85,4.15,5200,0,1,0,1,0,0
4,5,2014,4.6,6.87,42450,1,0,0,1,0,0
5,1,2018,9.25,9.83,2071,1,0,0,1,0,0
6,9,2015,6.75,8.12,18796,0,1,0,1,0,0
7,1,2015,6.5,8.61,33429,1,0,0,1,0,0
8,9,2016,8.75,8.89,20273,1,0,0,1,0,0
9,9,2015,7.45,8.92,42367,1,0,0,1,0,0
10,1,2017,2.85,3.6,2135,0,1,0,1,0,0
11,9,2015,6.85,10.38,51000,1,0,0,1,0,0
12,9,2015,7.5,9.94,15000,0,1,0,0,0,0
13,6,2015,6.1,7.71,26000,0,1,0,1,0,0
14,4,2009,2.25,7.21,77427,0,1,0,1,0,0
15,6,2016,7.75,10.79,43000,1,0,0,1,0,0
16,6,2015,7.25,10.79,41678,1,0,0,1,0,0
17,6,2016,7.75,10.79,43000,1,0,0,1,0,0
18,4,2015,3.25,5.09,35500,0,0,0,1,0,0
19,6,2010,2.65,7.98,41442,0,1,0,1,0,0
20,5,2016,2.85,3.95,25000,0,1,0,1,0,0
21,1,2017,4.9,5.71,2400,0,1,0,1,0,0
22,6,2011,4.4,8.01,50000,0,1,0,0,0,0
23,5,2014,2.5,3.46,45280,0,1,0,1,0,0
24,4,2013,2.9,4.41,56879,0,1,0,1,0,0
25,5,2011,3.0,4.99,20000,0,1,0,1,0,0
26,5,2013,4.15,5.87,55138,0,1,0,1,0,0
27,5,2017,6.0,6.49,16200,0,1,1,1,0,0
28,5,2010,1.95,3.95,44542,0,1,0,1,0,0
29,9,2015,7.45,10.38,45000,1,0,0,1,0,0
30,4,2012,3.1,5.98,51439,1,0,0,1,0,0
31,4,2011,2.35,4.89,54200,0,1,0,1,0,0
32,5,2014,4.95,7.49,39000,1,0,0,1,0,0
33,6,2014,6.0,9.95,45000,1,0,0,1,0,0
34,4,2014,5.5,8.06,45000,1,0,0,1,0,0
35,6,2011,2.95,7.74,49998,0,0,0,1,0,0
36,4,2015,4.65,7.2,48767,0,1,0,1,0,0
37,1,2003,0.35,2.28,127000,0,1,1,1,0,0
38,5,2016,3.0,3.76,10079,0,1,0,1,0,0
39,6,2003,2.25,7.98,62000,0,1,0,1,0,0
40,1,2016,5.85,7.87,24524,0,1,0,0,0,0
41,5,2014,2.55,3.98,46706,0,1,0,1,0,0
42,6,2008,1.95,7.15,58000,0,1,0,1,0,0
43,4,2014,5.5,8.06,45780,1,0,0,1,0,0
44,1,2012,1.25,2.69,50000,0,1,0,1,0,0
45,9,2014,7.5,12.04,15000,0,1,0,0,0,0
46,4,2013,2.65,4.89,64532,0,1,0,1,0,0
47,4,2006,1.05,4.15,65000,0,1,0,1,0,0
48,6,2015,5.8,7.71,25870,0,1,0,1,0,0
49,9,2017,7.75,9.29,37000,0,1,0,0,0,0
50,11,2012,14.9,30.61,104707,1,0,0,0,0,0
51,11,2015,23.0,30.61,40000,1,0,0,0,0,0
52,9,2017,18.0,19.77,15000,1,0,0,0,0,0
53,11,2013,16.0,30.61,135000,1,0,1,0,0,0
54,9,2005,2.75,10.21,90000,0,1,1,1,0,0
55,16,2009,3.6,15.04,70000,0,1,0,0,0,0
56,3,2015,4.5,7.27,40534,0,1,0,1,0,0
57,16,2010,4.75,18.54,50000,0,1,0,1,0,0
58,3,2014,4.1,6.8,39485,0,1,0,1,1,0
59,11,2014,19.99,35.96,41000,1,0,0,0,0,0
60,16,2013,6.95,18.61,40001,0,1,0,1,0,0
61,3,2015,4.5,7.7,40588,0,1,0,1,0,0
62,11,2014,18.75,35.96,78000,1,0,0,0,0,0
63,11,2015,23.5,35.96,47000,1,0,0,0,0,0
64,11,2017,33.0,36.23,6000,1,0,0,0,0,0
65,4,2014,4.75,6.95,45000,1,0,0,1,0,0
66,9,2017,19.75,23.15,11000,0,1,0,0,0,0
67,11,2010,9.25,20.45,59000,1,0,0,1,0,0
68,16,2011,4.35,13.74,88000,0,1,0,1,0,0
69,16,2016,14.25,20.91,12000,0,1,0,1,0,0
70,4,2014,3.95,6.76,71000,1,0,0,1,0,0
71,16,2011,4.5,12.48,45000,1,0,0,1,0,0
72,16,2013,7.45,18.61,56001,0,1,0,1,0,0
73,4,2011,2.65,5.71,43000,0,1,0,1,0,0
74,3,2014,4.9,8.93,83000,1,0,0,1,0,0
75,3,2015,3.95,6.8,36000,0,1,0,1,0,0
76,16,2013,5.5,14.68,72000,0,1,0,1,0,0
77,1,2004,1.5,12.35,135154,0,1,0,0,0,0
78,16,2010,5.25,22.83,80000,0,1,0,0,0,0
79,11,2012,14.5,30.61,89000,1,0,0,0,0,0
80,16,2016,14.73,14.89,23000,1,0,0,1,0,0
81,1,2015,4.75,7.85,40000,1,0,0,1,0,0
82,9,2017,23.0,25.39,15000,1,0,0,0,0,0
83,9,2015,12.5,13.46,38000,1,0,0,1,0,0
84,9,2005,3.49,13.46,197176,1,0,0,1,0,0
85,1,2006,2.5,23.73,142000,0,1,1,0,0,1
86,1,2010,35.0,92.6,78000,1,0,0,1,0,0
87,16,2012,5.9,13.74,56000,0,1,0,1,0,0
88,4,2013,3.45,6.05,47000,0,1,0,1,0,0
89,3,2014,4.75,6.76,40000,0,1,0,1,0,0
90,16,2009,3.8,18.61,62000,0,1,0,1,0,0
91,9,2014,11.25,16.09,58242,1,0,0,1,0,0
92,9,2005,3.51,13.7,75000,0,1,0,1,0,0
93,11,2015,23.0,30.61,40000,1,0,0,0,0,0
94,16,2008,4.0,22.78,89000,0,1,0,0,0,0
95,16,2012,5.85,18.61,72000,0,1,0,1,0,0
96,9,2016,20.75,25.39,29000,1,0,0,0,0,0
97,16,2017,17.0,18.64,8700,0,1,0,1,0,0
98,16,2013,7.05,18.61,45000,0,1,0,1,0,0
99,11,2010,9.65,20.45,50024,1,0,0,1,0,0
100,3,2016,1.75,1.9,3000,0,1,1,1,0,0
101,1,2017,1.7,1.82,1400,0,1,1,1,0,0
102,2,2017,1.65,1.78,4000,0,1,1,1,0,0
103,1,2017,1.45,1.6,1200,0,1,1,1,0,0
104,7,2017,1.35,1.47,4100,0,1,1,1,0,0
105,1,2015,1.35,2.37,21700,0,1,1,1,0,0
106,1,2014,1.35,3.45,16500,0,1,1,1,1,0
107,4,2013,1.25,1.5,15000,0,1,1,1,0,0
108,4,2016,1.2,1.5,18000,0,1,1,1,0,0
109,7,2017,1.2,1.47,11000,0,1,1,1,0,0
110,2,2016,1.2,1.78,6000,0,1,1,1,0,0
111,4,2016,1.15,1.5,8700,0,1,1,1,0,0
112,1,2014,1.15,2.4,7000,0,1,1,1,0,0
113,1,2016,1.15,1.4,35000,0,1,1,1,0,0
114,7,2015,1.15,1.47,17000,0,1,1,1,0,0
115,7,2015,1.11,1.47,17500,0,1,1,1,0,0
116,7,2013,1.1,1.47,33000,0,1,1,1,0,0
117,3,2015,1.1,1.9,14000,0,1,1,1,0,0
118,7,2015,1.1,1.47,26000,0,1,1,1,0,0
119,3,2013,1.05,1.9,5400,0,1,1,1,0,0
120,1,2016,1.05,1.26,5700,0,1,1,1,0,0
121,4,2011,1.05,1.5,6900,0,1,1,1,0,0
122,1,2016,1.05,1.17,6000,0,1,1,1,0,0
123,7,2013,1.0,1.47,46500,0,1,1,1,0,0
124,2,2012,0.95,1.75,11500,0,1,1,1,0,0
125,2,2009,0.9,1.75,40000,0,1,1,1,0,0
126,3,2017,0.9,0.95,1300,0,1,1,1,0,0
127,1,2016,0.75,0.8,7000,0,1,1,1,0,0
128,3,2017,0.8,0.87,3000,0,1,1,1,0,0
129,3,2017,0.78,0.84,5000,0,1,1,1,0,0
130,3,2017,0.75,0.87,11000,0,1,1,1,0,0
131,1,2015,0.75,0.82,18000,0,1,1,1,0,0
132,3,2017,0.75,0.95,3500,0,1,1,1,0,0
133,3,2016,0.72,0.95,500,0,1,1,1,0,0
134,3,2017,0.65,0.81,11800,0,1,1,1,0,0
135,4,2015,0.65,0.74,5000,0,1,1,1,0,0
136,2,2014,0.65,1.2,23500,0,1,1,1,0,0
137,2,2013,0.65,0.787,16000,0,1,1,1,0,0
138,3,2016,0.6,0.87,15000,0,1,1,1,0,0
139,2,2015,0.6,0.95,16600,0,1,1,1,0,0
140,2,2013,0.6,1.2,32000,0,1,1,1,0,0
141,1,2016,0.6,0.8,20000,0,1,1,1,0,0
142,2,2015,0.6,0.84,29000,0,1,1,1,0,0
143,2,2016,0.6,0.84,25000,0,1,1,1,0,0
144,1,2014,0.6,0.99,25000,0,1,1,1,0,0
145,3,2012,0.6,0.81,19000,0,1,1,1,0,0
146,2,2014,0.55,0.787,15000,0,1,1,1,0,0
147,3,2015,0.55,0.84,58000,0,1,1,1,0,0
148,2,2010,0.52,0.94,45000,0,1,1,1,0,0
149,2,2016,0.51,0.94,24000,0,1,1,1,0,0
150,2,2011,0.5,0.826,6000,0,1,1,1,0,0
151,1,2016,0.5,0.55,31000,0,1,1,1,0,0
152,3,2012,0.5,0.99,13000,0,1,1,1,0,0
153,3,2013,0.5,0.99,45000,0,1,1,1,0,0
154,1,2014,0.5,0.88,8000,0,1,1,1,0,0
155,2,2017,0.48,0.51,4300,0,1,1,0,0,0
156,1,2017,0.48,0.52,15000,0,1,1,1,0,0
157,3,2015,0.48,0.84,23000,0,1,1,1,0,0
158,1,2017,0.48,0.54,8600,0,1,1,1,0,0
159,2,2017,0.45,0.51,4000,0,1,1,0,0,0
160,1,2011,0.45,0.95,24000,0,1,1,1,0,0
161,2,2014,0.45,0.826,23000,0,1,1,1,0,0
162,3,2012,0.45,0.99,14500,0,1,1,1,0,0
163,2,2010,0.45,0.95,27000,0,1,1,1,0,0
164,2,2016,0.45,0.54,14000,0,1,1,1,0,0
165,2,2016,0.45,0.54,500,0,1,1,0,0,0
166,2,2016,0.45,0.55,1000,0,1,1,1,0,0
167,3,2014,0.42,0.81,42000,0,1,1,1,0,0
168,1,2013,0.42,0.73,12000,0,1,1,1,0,0
169,2,2015,0.4,0.54,14000,0,1,1,1,0,0
170,1,2012,0.4,0.83,5500,0,1,1,1,0,0
171,2,2015,0.4,0.55,6700,0,1,1,1,0,0
172,1,2014,0.4,0.64,13700,0,1,1,1,0,0
173,1,2017,0.4,0.51,1300,0,1,1,0,0,0
174,1,2015,0.38,0.72,38600,0,1,1,1,0,0
175,1,2011,0.38,0.787,75000,0,1,1,1,0,0
176,2,2011,0.35,1.05,30000,0,1,1,1,0,0
177,1,2016,0.35,0.57,24000,0,1,1,0,0,0
178,1,2014,0.35,0.52,19000,0,1,1,0,0,0
179,2,2010,0.31,1.05,213000,0,1,1,1,0,0
180,1,2012,0.3,0.51,60000,0,1,1,1,0,0
